host,listOfDetections,count
4rt5.ru,"[u'MyWOT', u'GoogleSafeBrowsing']",2
4th.vitocedric.com,[u'BitDefender'],1
4yryhou4r.danetka.com,[u'BitDefender'],1
5.133.179.103,0,0
5.133.179.143,0,0
5.133.179.148,0,0
5.133.179.155,0,0
5.133.179.160,0,0
5.133.179.68,0,0
5.133.179.82,0,0
5.149.248.85,0,0
5.248.56.79,0,0
5.45.176.208,0,0
5.79.85.237,0,0
50.22.179.159,0,0
50.30.47.96,0,0
50be551fb6936.neurologyclinic.org,[u'BitDefender'],1
50c103d78313e.kodalex.net,0,0
50c91ce16b54a.individualtermlife.com,[u'BitDefender'],1
50cac3eeb3043.sellsantacruzrealty.info,[u'BitDefender'],1
50caddc222673.projectmindcore.com,[u'BitDefender'],1
50d2449054879.xanzeo.com,0,0
50d24c29127f7.xanzeo.com,[u'BitDefender'],1
50d39c42d2528.dinefreely.com,0,0
50d4c66217961.kanpeki.es,0,0
50d66b8d90b59.biopharmgen.net,[u'BitDefender'],1
50da412d0a431.louisianaautoinsurances.org,[u'BitDefender'],1
50da5ea4d9611.kansashealthinsurances.com,[u'BitDefender'],1
50dcda4fe64e5.maryschoices.biz,[u'BitDefender'],1
50de3874cd831.gangacr.com,0,0
50e0c132a3adb.chromcak.com,[u'BitDefender'],1
50e0c14d23645.ilianalola.com,0,0
50f051175d550.thedatacatcher.com,[u'BitDefender'],1
50f0998ca583d.nigeriatv.us,[u'BitDefender'],1
50f3294603c37.loseweightaz.com,[u'BitDefender'],1
50f448669c3d4.activebodyconnections.com,0,0
50f46cbd4c7df.moneymachineexpress.com,[u'BitDefender'],1
50f6ef69cab60.lmcwellness.com,[u'BitDefender'],1
50f84555076a1.technoscouts.net,0,0
50f9b45c02a2c.mossycreekblackguns.info,[u'BitDefender'],1
50fa98322718e.u-thrive.com,[u'BitDefender'],1
50fd790ef1b1d.chicagopartyspaces.com,[u'BitDefender'],1
50fd95e1002eb.chicagoprivateparty.com,[u'BitDefender'],1
50fef448bba8b.massageinfortcollins.com,"[u'MyWOT', u'BitDefender']",2
5101dd964aca8.thefutureofbuilding.com,[u'BitDefender'],1
51035289803ad.cc-mw.com,[u'BitDefender'],1
510360ce271ed.cc-mw.com,[u'BitDefender'],1
51036812393d8.diabeticsocks.org,[u'BitDefender'],1
51036f543c90f.diabeticsocks.org,[u'BitDefender'],1
5108216734411.wheelchairsforindia.org,[u'BitDefender'],1
520568474,0,0
553f0vtu4ak9e8637tnpi97.99shift.com,[u'BitDefender'],1
55516.ttl60.com,0,0
55roovee.info,0,0
59cc9d2bdc9a289d6599d2f7.mypets.ws,0,0
5a0.8c8e1.76cb.6d.6b5eb00.f83b6ae.e5.ef.dkrwtgcnfrb.treesrevealing.pw,0,0
5a14649.025c4e.178daf1.6a09e6b.62cef.umfbbffthu.pieceat.in,0,0
5b2cuh9sotn7jc9usz9xmri62024dea9f3b5668040eb9b529fb88579.badkamer-tegels.be,[u'BitDefender'],1
5tgfgf.biteamv.ru,"[u'BitDefender', u'GoogleSafeBrowsing']",2
60ad70e7ea84621fd7ed9d94.servebbs.com,[u'GoogleSafeBrowsing'],1
62.109.18.90,0,0
62.109.19.124,0,0
62.76.42.45,0,0
62.76.43.123,0,0
64.150.166.50,0,0
64.187.226.179,0,0
64.187.226.182,0,0
64.187.226.183,0,0
64.187.226.187,0,0
64.187.226.190,0,0
64.187.232.198,0,0
65.49.23.2,0,0
65.49.23.6,0,0
65.75.131.166,0,0
65.75.131.175,0,0
65.75.138.39,0,0
65.75.145.186,0,0
65.75.149.36,0,0
65.75.152.226,0,0
65.75.154.145,0,0
65.75.156.189,0,0
65.75.156.51,0,0
65.75.158.111,0,0
65.75.177.149,0,0
65.77.129.14,0,0
66.197.224.61,0,0
66.55.157.196,0,0
66.55.157.198,0,0
66.55.157.200,0,0
66.55.157.201,0,0
66.55.157.202,0,0
66.55.157.205,0,0
66.55.157.206,0,0
67.196.3.67,0,0
67.196.3.68,0,0
67.196.3.69,0,0
67.196.3.70,0,0
67.196.3.71,0,0
67.196.3.72,0,0
67.196.3.76,0,0
67.196.3.78,0,0
67.196.3.79,0,0
67.196.49.161,0,0
67.196.49.164,0,0
67.196.49.165,0,0
67.196.49.166,0,0
67.196.49.167,0,0
67.196.49.168,0,0
67.196.49.169,0,0
67.196.49.171,0,0
67.196.49.173,0,0
67.196.49.178,0,0
67.196.49.181,0,0
67.196.49.182,0,0
67.196.49.183,0,0
67.196.49.185,0,0
67.196.49.191,0,0
67.196.50.144,0,0
67.196.50.145,0,0
67.196.50.146,0,0
67.196.50.147,0,0
67.196.50.148,0,0
67.196.50.151,0,0
67.196.50.152,0,0
67.196.50.153,0,0
67.196.50.154,0,0
67.196.50.155,0,0
67.196.50.157,0,0
67.196.50.158,0,0
67.207.192.251,0,0
67.214.177.20,0,0
67.23.226.179,0,0
672.bz1.in,0,0
69.194.194.222,0,0
69.46.86.171,0,0
69.50.239.8,0,0
69.64.40.51,0,0
6ag6f.surgablog.com,0,0
6bjkzwwllw.org,0,0
6d1tube.c01.at,0,0
70.39.113.66,0,0
74.91.117.215,0,0
76.8.62.58,0,0
76ea7061cf5d38828226ca8f.dnsdojo.net,[u'BitDefender'],1
77.72.133.184,0,0
77.79.4.4,0,0
77777.p9.org,0,0
78.159.101.181,0,0
78.159.102.31,0,0
78.251.181.33,0,0
785a1caec30686d31552d178.mine.nu,[u'BitDefender'],1
79.96.120.199,0,0
79.96.146.144,0,0
79.96.238.164,0,0
79.96.66.209,0,0
79.96.76.203,0,0
79.96.91.74,0,0
792bd051d38cbe978ad8aea2.is-a-libertarian.com,0,0
7e.xpsp.in,"[u'MyWOT', u'BitDefender', u'BrowserDefender', u'DrWeb', u'GoogleSafeBrowsing']",5
7iaa.com,0,0
82.165.132.114,0,0
82.165.196.30,0,0
85.114.132.71,0,0
85.143.166.135,0,0
85.143.166.242,0,0
88.80.196.104,0,0
88868bf8e7.vakede.pro,[u'BitDefender'],1
89.149.226.216,0,0
89.149.242.249,0,0
89.161.246.23,0,0
89.23.2.34,0,0
89.248.165.149,0,0
8941d6.76b7.f4205c3.be218.859.4d024.11.giulvcjrjt.decidesenemy.in,0,0
8byhlxiai07dbio3l7yigni60734df98f69333e440eb9b524e7995c6.bemac-support.be,[u'BitDefender'],1
8f.ec8bed8.f8.ce1df6c.45d11.833.df3a4.5.yxdbulanrn.neverunits.in,0,0
8gjhik3yjtjb95z9ruwy9hx60734debb16a1751340eb9b53bcf04dcf.bevpremilitar.com.br,0,0
8queen.net,0,0
8w0tube.c01.at,0,0
8zvideo.c01.at,0,0
91.121.153.68,0,0
91.121.234.33,0,0
91.193.72.73,0,0
91.194.214.68,0,0
91.200.176.27,0,0
91.204.208.9,0,0
91.204.209.209,0,0
91.209.77.58,0,0
91.211.119.22,0,0
91.213.233.198,0,0
91.213.8.224,0,0
91.229.210.153,0,0
92.241.165.110,0,0
92.241.191.180,0,0
92.52.171.177,0,0
920video.c01.at,0,0
93.104.215.155,0,0
93.114.252.53,0,0
93.126.126.71,0,0
93.78.1.247,0,0
93.78.123.111,0,0
94.23.76.187,0,0
94.45.105.253,0,0
94.75.213.155,0,0
94.75.213.213,0,0
94.75.234.241,0,0
94.75.234.242,0,0
95.163.89.227,0,0
95.168.187.173,0,0
95.168.187.175,0,0
95.168.187.177,0,0
95.168.187.178,0,0
95.168.187.180,0,0
95.168.187.201,0,0
95.168.187.204,0,0
95.211.158.225,0,0
95.215.0.153,0,0
95.65.117.173,0,0
95zbook.cu.cc,0,0
967media.c01.at,0,0
98fne6.com,0,0
9btzu17.glossicpm.pw,[u'BitDefender'],1
9e1ae845c87659158ede291d.mypets.ws,0,0
9nz2.mandulozz.org,"[u'BitDefender', u'GoogleSafeBrowsing']",2
9wi.ru,"[u'MyWOT', u'BitDefender']",2
ADVANSEDBREACK.COM,0,0
RENPROTREMOI.COM,0,0
a.after-hours-toy-chest.com,0,0
a.bouquet-tube.com,0,0
a.cocosluts.net,0,0
a.hyperbarato.com,0,0
a.netmaniak.org,0,0
a.nudebeachpictures.info,0,0
a.ssh22.net,[u'GoogleSafeBrowsing'],1
a.teenburg-movies.com,0,0
a.tubedoomsday.net,0,0
a.zapmeta.net,0,0
a1.topsitestats.info,0,0
a234.28.1cb5d6.ace.f68e.de.1c614a5.1f1b.sbwlvfaaq.decidesenemy.in,0,0
a3fvkv6p.bronzebowler.pw,0,0
a757552.sites.myregisteredsite.com,"[u'MalwareDomainList', u'MyWOT', u'SCUMWARE', None, u'DNS-BH']",5
a7ahe.ru,0,0
aaaorange.info,0,0
ab21.net,"[u'BitDefender', u'BrowserDefender']",2
abarboza.com.br,"[u'MyWOT', u'BitDefender', u'YandexSafeBrowsing', u'Sucuri']",4
abas.teralancer.info,0,0
abccat.org,0,0
abccristmas.com,0,0
abccrowns.net,0,0
abcdrink.org,0,0
abcfile.org,0,0
abcfunny.info,0,0
abcgoal.info,0,0
abcground.org,0,0
abchorse.net,"[u'MyWOT', u'BitDefender']",2
abcjowelt.org,0,0
abcjuice.org,0,0
abcpalm.info,"[u'GoogleSafeBrowsing', u'BitDefender']",2
abcpurple.info,[u'GoogleSafeBrowsing'],1
abcredbull.org,0,0
abctale.net,[u'BrowserDefender'],1
abcthepower.net,0,0
abctower.org,0,0
abcwired.info,0,0
abgeseiftemchiamatemi.giocoonline.com,0,0
abishainoni.com,0,0
abmdesign.nl.ai,0,0
abnev.ru,"[u'MyWOT', u'BrowserDefender', None]",3
abogadodewisconsin.com,0,0
abogadoslongisland.com,0,0
aboutweapons.in,0,0
abra-kadabra.tk,0,0
abrio.in,0,0
absd12.cocochang.com,0,0
abserv5.info,0,0
abxhvgrrr.hopto.org,0,0
acadcisco.unisla.pt,"[u'SCUMWARE', None]",2
acceptsallyou.com,0,0
accfunds.co.com.au,0,0
accidentlawyermaryland.com,0,0
accountantrelaying.net,0,0
accruesoneoff.biz,0,0
acdmyjsu.cz.cc,0,0
acdopzgamcp.com,0,0
acdseevariables.net,0,0
achagfgch.co.cc,"[u'BitDefender', u'DrWeb']",2
acjhejgic.co.cc,0,0
ackcomhaogo.com,0,0
acmotels4sale.com,[u'BitDefender'],1
activex.camfrogweb.com,"[None, None]",2
actualsecure.ru,0,0
ad.chupupcup.com,[u'GoogleSafeBrowsing'],1
ad.fullkompress.com,"[u'SCUMWARE', u'GoogleSafeBrowsing', u'urlQuery']",3
ad.plexicakes.com,[u'urlQuery'],1
ad1.powerservices15.in,0,0
ad15.cz.cc,0,0
ad3.powerservices32.in,0,0
ad7.powerservices15.in,0,0
ad8.powerservices23.in,0,0
adamstastesbasic.info,0,0
adcost.com,"[u'BitDefender', u'GoogleSafeBrowsing']",2
adhel.sdfkreds.crabdance.com,0,0
adhost.mooo.com,[u'AVGThreatLabs'],1
adicghbeh.co.cc,0,0
adjbbfhje.co.cc,0,0
adjbhbefc.co.cc,"[u'BitDefender', u'DrWeb']",2
adjciejbc.co.cc,"[u'BitDefender', u'DrWeb']",2
admin.azgrvoowalurma.biz,0,0
admin.seasovonejeaakkin.org,"[u'BitDefender', u'GoogleSafeBrowsing']",2
admin.vojtekracing.hu,"[u'BitDefender', u'z_protect']",2
adn.ahorariver.com.ar,0,0
adnaca.info,0,0
adnew.net,[u'BitDefender'],1
adorablestoneor.org,[u'BitDefender'],1
adpage17.google-syndication05.in,0,0
adpage18.google-syndication05.in,0,0
adpage21.google-syndication11.in,0,0
adpage29.google-syndication11.in,0,0
adpage31.google-syndication39.in,0,0
adpage32.google-syndication39.in,0,0
adpage41.google-syndication42.in,0,0
adpage42.google-syndication42.in,0,0
adpage43.google-syndication42.in,0,0
adpage53.google-syndication58.in,0,0
adpage63.google-syndication60.in,0,0
adpage76.google-syndication76.in,0,0
adpage87.google-syndication82.in,0,0
ads.30landport.com,[u'BitDefender'],1
ads.arno-os.com,0,0
ads.loveme77.com,[u'GoogleSafeBrowsing'],1
ads.sharethewords.net,[u'GoogleSafeBrowsing'],1
ads.simplyitnetworks.com,[u'GoogleSafeBrowsing'],1
ads4ususausa.net,"[u'MyWOT', u'SURBL', u'BitDefender', u'GoogleSafeBrowsing', u'DNS-BH', u'DShield']",6
adv.l2merak.com,0,0
adv.nuod.info,0,0
advancewebsites.com,"[u'MyWOT', u'hpHosts']",2
adver3.zadverising.net,0,0
advertising.by,"[u'SCUMWARE', u'BitDefender']",2
advertonline.info,0,0
advget12.in,0,0
advget5.in,0,0
aeetho.sleepme.cc,0,0
ael8vaigk0y.corgicam.com,0,0
aeroclub3.in,0,0
aeroclub4.in,0,0
aeroclub6.in,0,0
aerostrips.com,"[u'MyWOT', u'SCUMWARE', u'BitDefender', u'BrowserDefender', u'DrWeb']",5
aewkztrivl.serveftp.com,0,0
afeelgoodthing.com,0,0
aff.foxtab.com,"[u'MyWOT', u'SCUMWARE', None, u'AVGThreatLabs']",4
afge4re.biz.tm,0,0
africanmangoextract4u.info,"[u'BitDefender', u'GoogleSafeBrowsing']",2
agenteviaja.com,0,0
agkiws.com,0,0
agvaxdhloywznj.x24hr.com,0,0
ahnc.blockscheine.com,[u'BitDefender'],1
ahtunges.myDad.info,0,0
ahtunges.mydad.info,0,0
ahzhfvfjn.freewww.biz,"[u'MyWOT', u'GoogleSafeBrowsing', u'DNS-BH', u'DShield']",4
aibop7.miracleloops.com,0,0
aig4jhvbft83.biz,0,0
aileip.sleepme.cc,0,0
airprint.nl,0,0
airpurifiersionic.com,[u'SCUMWARE'],1
aistbilling.ru,0,0
aiwrm.dnepr.com,0,0
ajlwnzm7700002.ddns.info,0,0
akbar.noip.me,0,0
akjznlo.cameraproperties.biz,0,0
akmaxook.ru,0,0
akmeb.pl,[u'BitDefender'],1
al.Sdflt.Com,0,0
albano.cl,0,0
ald-facebook.me.uk,"[u'MyWOT', u'SCUMWARE', u'SURBL', u'BitDefender', u'GoogleSafeBrowsing']",5
aldun.net,0,0
alertingtwentyfour.info,0,0
algomian.in,0,0
alienbuffet.cu.cc,[u'BitDefender'],1
aliendablog.com,0,0
alignssirloin.com,"[u'MyWOT', None, u'GoogleSafeBrowsing']",3
alisaperduephotography.com,0,0
allegiantcare.com,"[u'MyWOT', u'SCUMWARE', u'SURBL', u'ThreatLog', u'BitDefender', u'GoogleSafeBrowsing', u'Sucuri']",7
allhomesolutionsllc.com,0,0
allocatzds.aelita.fr,0,0
allplax.com.br,0,0
allsup.pairserver.com,"[u'MalwareDomainList', u'MyWOT', u'BrowserDefender', None]",4
aloudrecentlyaired.info,"[u'MyWOT', u'SpamhausDBL', u'SURBL']",3
alphadoaks.com,"[u'BitDefender', u'DShield']",2
alpsankimya.com,0,0
alreadydownloadedstorytelling.com,0,0
altunbuken.com.tr,"[u'MalwareDomainList', u'MyWOT', u'AVGThreatLabs']",3
amaikot.ayamkampung.web.id,0,0
americaconsultoria.com.br,0,0
americansunitedsa.org,[None],1
amfograf.be,[u'BitDefender'],1
ammonianzcpn.jesais.fr,0,0
amosindustries.com,0,0
amplifierdeveloped.org,0,0
an-intermedi.info,[u'BitDefender'],1
an-wis.info,0,0
analizesite.co.cc,"[u'BitDefender', u'DrWeb']",2
analytic-google.com,"[u'MyWOT', u'SCUMWARE', u'GoogleSafeBrowsing', u'SURBL', u'DNS-BH']",5
and-omer.info,0,0
andasiveish.pro,0,0
andpasexesrights.cu.cc,0,0
angle.landcgrad.com,[u'GoogleSafeBrowsing'],1
animalhope.ru,0,0
ankushnews.cu.cc,[u'BitDefender'],1
ansavbg.epac.to,0,0
answer-spacer.ru,0,0
antarcticicemarathon.com,"[u'BitDefender', u'Sucuri']",2
antislaverkpux.tk,0,0
antlantaservice800.com,0,0
ap-facebook.com,0,0
apnifosa.ru,"[u'SpamhausDBL', u'DrWeb']",2
apollo.globaldevserver.com,0,0
aporimocratr.com,0,0
apothekerin.ce.ms,0,0
appoul.com,0,0
