"199.204.74.68","47","Bkav,MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,Malwarebytes,K7AntiVirus,K7GW,TheHacker,Agnitum,F-Prot,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,NANO-Antivirus,SUPERAntiSpyware,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Antiy-AVL,Kingsoft,Microsoft,ViRobot,GData,Commtouch,AhnLab-V3,VBA32,Panda,ESET-NOD32,Rising,Ikarus,Fortinet,AVG,Baidu-International,Qihoo-360"
"vitamins4autism.com","18","Comodo,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,McAfee,Microsoft,GData,Symantec,ESET-NOD32,TrendMicro-HouseCall,Avast,Kaspersky,NANO-Antivirus,Ikarus,Fortinet,AVG,Qihoo-360"
"65.75.156.51","46","Bkav,MicroWorld-eScan,CMC,CAT-QuickHeal,McAfee,Malwarebytes,K7AntiVirus,K7GW,TheHacker,NANO-Antivirus,F-Prot,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,Agnitum,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,NOD32,Sophos,Jiangmin,Antiy-AVL,Kingsoft,Microsoft,SUPERAntiSpyware,GData,Commtouch,ESET-NOD32,Baidu-International,Rising,Ikarus,Fortinet,AVG,Panda,Avast5"
"91.204.209.209","32","MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,K7AntiVirus,VirusBuster,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,eSafe,Kaspersky,BitDefender,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,McAfee-GW-Edition,Sophos,Jiangmin,Antiy-AVL,Microsoft,ViRobot,GData,AhnLab-V3,Ikarus,Fortinet,AVG,Panda"
"yt3pd62o315zrbg91964sgi62024df7e68e34cb740eb9b520e2902d0.beeldenverhaal.be","24","F-Secure,VIPRE,AntiVir,TrendMicro,MicroWorld-eScan,Sophos,Jiangmin,McAfee,Malwarebytes,Panda,Kingsoft,Microsoft,SUPERAntiSpyware,GData,AhnLab-V3,ESET-NOD32,VBA32,TrendMicro-HouseCall,Kaspersky,BitDefender,Ad-Aware,Qihoo-360,Emsisoft,Comodo"
"ip127.de","46","Bkav,MicroWorld-eScan,nProtect,CAT-QuickHeal,McAfee,Malwarebytes,TheHacker,K7GW,K7AntiVirus,F-Prot,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,Agnitum,ViRobot,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Antiy-AVL,Kingsoft,Microsoft,SUPERAntiSpyware,GData,Commtouch,AhnLab-V3,VBA32,Baidu-International,ESET-NOD32,Rising,Ikarus,Fortinet,AVG,Panda,Qihoo-360"
"www1.firstguardtr.rr.nu","33","MicroWorld-eScan,CAT-QuickHeal,McAfee,K7AntiVirus,F-Prot,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,NANO-Antivirus,Ad-Aware,Emsisoft,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Microsoft,ViRobot,GData,Commtouch,Rising,Ikarus,AVG,Qihoo-360"
"abserv5.info","42","nProtect,McAfee,Malwarebytes,K7AntiVirus,K7GW,TheHacker,VirusBuster,NANO-Antivirus,F-Prot,Symantec,Norman,ESET-NOD32,TrendMicro-HouseCall,Avast,ClamAV,Kaspersky,BitDefender,Agnitum,SUPERAntiSpyware,Sophos,Comodo,F-Secure,DrWeb,VIPRE,AntiVir,TrendMicro,McAfee-GW-Edition,NOD32,Emsisoft,Jiangmin,Antiy-AVL,Microsoft,ViRobot,GData,Commtouch,AhnLab-V3,VBA32,PCTools,Ikarus,Fortinet,AVG,Panda"
"www.terioals.in","30","Bkav,nProtect,McAfee,NOD32,Symantec,Norman,TotalDefense,TrendMicro-HouseCall,Avast,Kaspersky,BitDefender,NANO-Antivirus,Comodo,F-Secure,DrWeb,AntiVir,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,Microsoft,ViRobot,GData,AhnLab-V3,PCTools,ESET-NOD32,Ikarus,Fortinet,Panda,Qihoo-360"
"ttghdrgfggg.nl.ai","48","Bkav,MicroWorld-eScan,nProtect,K7AntiVirus,Agnitum,F-Prot,Norman,eSafe,Kaspersky,F-Secure,TrendMicro,McAfee-GW-Edition,Sophos,Jiangmin,ViRobot,Commtouch,AhnLab-V3,VBA32,Ikarus,Fortinet,Panda,Qihoo-360,CAT-QuickHeal,McAfee,Malwarebytes,K7GW,TheHacker,Symantec,TotalDefense,TrendMicro-HouseCall,Avast,BitDefender,NANO-Antivirus,Ad-Aware,Comodo,DrWeb,VIPRE,AntiVir,Emsisoft,Antiy-AVL,Kingsoft,Microsoft,SUPERAntiSpyware,GData,ESET-NOD32,PCTools,Tencent,AVG"
